User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.04, 0.09, 5.15, 16.66 
5.03, 0.09, 5.13, 16.66 
5.04, 0.09, 5.13, 16.66 
5.00, 0.11, 5.12, 16.66 
5.01, 0.11, 5.13, 16.66 
5.05, 0.08, 5.14, 16.66 
4.99, 0.13, 5.13, 16.66 
5.04, 0.10, 5.15, 16.66 
5.02, 0.12, 5.15, 16.66 
5.02, 0.10, 5.12, 16.66 
5.03, 0.10, 5.13, 16.66 
4.97, 0.15, 5.13, 16.66 
5.07, 0.10, 5.18, 16.66 
5.07, 0.07, 5.15, 16.66 
5.03, 0.10, 5.14, 16.66 
5.01, 0.12, 5.13, 16.66 
5.00, 0.12, 5.13, 16.66 
5.04, 0.10, 5.15, 16.66 
5.11, 0.11, 5.23, 16.66 
5.05, 0.09, 5.14, 16.66 
5.03, 0.10, 5.13, 16.66 
5.01, 0.11, 5.13, 16.66 
5.04, 0.09, 5.13, 16.66 
5.04, 0.08, 5.13, 16.66 
5.04, 0.09, 5.15, 16.66 
5.02, 0.10, 5.13, 16.66 
5.02, 0.11, 5.13, 16.66 
4.98, 0.15, 5.14, 16.66 
5.03, 0.11, 5.14, 16.66 
5.01, 0.12, 5.14, 16.66 
