User Time (s), System Time (s), Real Time (s), Executable Size (KB)
30.01, 0.00, 30.01, 403.78 
29.94, 0.00, 29.94, 403.78 
29.99, 0.00, 29.99, 403.78 
30.01, 0.00, 30.01, 403.78 
30.00, 0.00, 30.01, 403.78 
30.03, 0.00, 30.04, 403.78 
29.97, 0.00, 29.98, 403.78 
29.97, 0.00, 29.97, 403.78 
29.99, 0.00, 29.99, 403.78 
29.97, 0.00, 29.98, 403.78 
30.03, 0.00, 30.04, 403.78 
30.03, 0.00, 30.04, 403.78 
29.94, 0.00, 29.94, 403.78 
30.05, 0.00, 30.06, 403.78 
30.01, 0.00, 30.01, 403.78 
30.00, 0.00, 30.00, 403.78 
29.97, 0.00, 29.98, 403.78 
30.00, 0.00, 30.00, 403.78 
30.03, 0.00, 30.03, 403.78 
29.93, 0.00, 29.94, 403.78 
29.99, 0.00, 29.99, 403.78 
29.97, 0.00, 29.98, 403.78 
29.96, 0.00, 29.97, 403.78 
29.98, 0.00, 29.99, 403.78 
30.03, 0.00, 30.04, 403.78 
30.03, 0.00, 30.03, 403.78 
29.92, 0.00, 29.93, 403.78 
30.07, 0.00, 30.07, 403.78 
30.02, 0.00, 30.03, 403.78 
29.98, 0.00, 29.99, 403.78 
