User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.74, 0.07, 4.81, 16.56 
4.76, 0.07, 4.85, 16.56 
4.76, 0.07, 4.84, 16.56 
4.74, 0.09, 4.84, 16.56 
4.81, 0.05, 4.86, 16.56 
4.79, 0.07, 4.86, 16.56 
4.79, 0.04, 4.84, 16.56 
4.85, 0.06, 4.91, 16.56 
4.76, 0.06, 4.82, 16.56 
4.78, 0.08, 4.87, 16.56 
4.76, 0.06, 4.82, 16.56 
4.82, 0.05, 4.88, 16.56 
4.76, 0.07, 4.84, 16.56 
4.77, 0.05, 4.83, 16.56 
4.81, 0.04, 4.86, 16.56 
4.78, 0.05, 4.83, 16.56 
4.78, 0.07, 4.86, 16.56 
4.75, 0.08, 4.84, 16.56 
4.77, 0.07, 4.85, 16.56 
4.74, 0.09, 4.83, 16.56 
4.76, 0.05, 4.81, 16.56 
4.73, 0.07, 4.80, 16.56 
4.77, 0.05, 4.82, 16.56 
4.80, 0.04, 4.84, 16.56 
4.75, 0.06, 4.82, 16.56 
4.76, 0.05, 4.82, 16.56 
4.76, 0.05, 4.82, 16.56 
4.75, 0.05, 4.80, 16.56 
4.81, 0.04, 4.86, 16.56 
4.75, 0.05, 4.81, 16.56 
