User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.69, 0.03, 4.74, 15.79 
4.66, 0.05, 4.71, 15.79 
4.70, 0.04, 4.75, 15.79 
4.71, 0.04, 4.75, 15.79 
4.64, 0.08, 4.73, 15.79 
4.63, 0.08, 4.72, 15.79 
4.65, 0.07, 4.73, 15.79 
4.66, 0.07, 4.74, 15.79 
4.63, 0.06, 4.70, 15.79 
4.68, 0.06, 4.74, 15.79 
4.76, 0.04, 4.80, 15.79 
4.65, 0.07, 4.73, 15.79 
4.65, 0.08, 4.74, 15.79 
4.66, 0.05, 4.73, 15.79 
4.63, 0.05, 4.69, 15.79 
4.61, 0.07, 4.68, 15.79 
4.66, 0.07, 4.74, 15.79 
4.69, 0.06, 4.76, 15.79 
4.69, 0.07, 4.76, 15.79 
4.64, 0.07, 4.72, 15.79 
4.69, 0.06, 4.75, 15.79 
4.66, 0.06, 4.72, 15.79 
4.69, 0.06, 4.76, 15.79 
4.66, 0.06, 4.73, 15.79 
4.65, 0.08, 4.74, 15.79 
4.63, 0.06, 4.70, 15.79 
4.70, 0.05, 4.76, 15.79 
4.71, 0.06, 4.77, 15.79 
4.64, 0.08, 4.73, 15.79 
4.66, 0.07, 4.74, 15.79 
