User Time (s), System Time (s), Real Time (s), Executable Size (KB)
9.98, 0.00, 9.99, 16.05 
10.00, 0.00, 10.00, 16.05 
10.04, 0.00, 10.04, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.96, 0.00, 9.96, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.96, 0.00, 9.96, 16.05 
9.98, 0.00, 9.98, 16.05 
9.97, 0.00, 9.98, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.98, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.98, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.96, 0.00, 9.96, 16.05 
9.96, 0.00, 9.96, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.96, 0.00, 9.96, 16.05 
9.97, 0.00, 9.98, 16.05 
9.97, 0.00, 9.98, 16.05 
9.97, 0.00, 9.97, 16.05 
9.97, 0.00, 9.97, 16.05 
9.96, 0.00, 9.96, 16.05 
9.96, 0.00, 9.96, 16.05 
9.96, 0.00, 9.96, 16.05 
